位数,k值,总相似次数,准确率,召回率,F-value,漏判率,误判率,错误率
16,0,8,1.000,.092,.168,.908,.000,.454
16,1,29,1.000,.333,.500,.667,.000,.333
16,2,46,.957,.506,.662,.494,.007,.251
16,3,64,.812,.598,.689,.402,.044,.223
16,4,92,.598,.632,.615,.368,.135,.251
16,5,145,.448,.747,.560,.253,.291,.272
32,0,6,1.000,.069,.129,.931,.000,.466
32,1,13,1.000,.149,.260,.851,.000,.425
32,2,29,1.000,.333,.500,.667,.000,.333
32,3,38,1.000,.437,.608,.563,.000,.282
32,4,46,1.000,.529,.692,.471,.000,.236
32,5,48,1.000,.552,.711,.448,.000,.224
32,6,54,.926,.575,.709,.425,.015,.220
32,7,67,.806,.621,.701,.379,.047,.213
32,8,74,.730,.621,.671,.379,.073,.226
32,9,101,.574,.667,.617,.333,.156,.245
32,10,135,.481,.747,.586,.253,.255,.254
64,0,4,1.000,.046,.088,.954,.000,.477
64,1,6,1.000,.069,.129,.931,.000,.466
64,2,12,1.000,.138,.242,.862,.000,.431
64,3,12,1.000,.138,.242,.862,.000,.431
64,4,24,1.000,.276,.432,.724,.000,.362
64,5,29,1.000,.333,.500,.667,.000,.333
64,6,30,1.000,.345,.513,.655,.000,.328
64,7,43,1.000,.494,.662,.506,.000,.253
64,8,45,1.000,.517,.682,.483,.000,.241
64,9,46,1.000,.529,.692,.471,.000,.236
64,10,48,1.000,.552,.711,.448,.000,.224
64,11,48,1.000,.552,.711,.448,.000,.224
64,12,48,1.000,.552,.711,.448,.000,.224
64,13,49,1.000,.563,.721,.437,.000,.218
64,14,53,.981,.598,.743,.402,.004,.203
64,15,59,.915,.621,.740,.379,.018,.199
64,16,68,.853,.667,.748,.333,.036,.185
64,17,76,.829,.724,.773,.276,.047,.162
64,18,98,.684,.770,.724,.230,.113,.171
64,19,117,.624,.839,.716,.161,.160,.160
64,20,136,.559,.874,.682,.126,.218,.172
64,21,154,.494,.874,.631,.126,.284,.205
